'7fb55b4,2025-01-07T00:53:07Z,Hemil Parmar,CPU Specifications - AMD Data Set'
'a568a32,2025-01-07T00:44:20Z,Hemil59,Delete AMD_Database.csv'
'39e595d,2025-01-07T00:42:28Z,Hemil Parmar,CPU Specifications - AMD Data Set'
'7f7ac1b,2025-01-07T00:34:11Z,Hemil Parmar,Delete'
'9dcd551,2025-01-07T00:27:03Z,Hemil Parmar,My First'
'f03fdc9,2025-01-06T13:53:58Z,xpernza,Add files via upload'
'cc42ad4,2025-01-06T13:47:07Z,Hemil59,Delete Team-Research-2024.Rproj'
'306fed0,2025-01-06T13:46:53Z,Hemil59,Delete .gitignore'
'25eed38,2025-01-06T13:45:35Z,Kartik Mistry,analysis and evaluation file'
'b06a348,2025-01-06T13:17:47Z,Hemil59,Delete amd1.csv'
'7136932,2025-01-06T12:59:54Z,Hemil Parmar,histogram image and box plot image'
'fd0d528,2025-01-06T12:53:36Z,Hemil59,Delete Team-Research-2024.Rproj'
'4345d93,2025-01-06T12:52:55Z,Hemil59,Delete .Rproj.user directory'
'648e0d4,2025-01-06T12:51:29Z,Hemil Parmar,Visualisation and Appendices text file'
'6e2b702,2025-01-06T12:45:29Z,Hemil59,Delete histogram_cpu_cores.png'
'840e828,2025-01-06T12:45:18Z,Hemil59,Delete boxplot_cpu_cores.png'
'04e3cd9,2025-01-05T19:34:06Z,Andappa Chandoor,Research'
'3dc2c46,2025-01-05T19:14:39Z,Poorna443,Create Conclusions & Reference'
'f27d2df,2024-11-24T23:21:25Z,Hemil59,Add files via upload'
'a6cf538,2024-11-24T23:19:44Z,Hemil59,Update README.md'
'223f282,2024-11-24T23:19:24Z,Hemil59,Delete Screenshot 2024-11-22 095251.png'
'619d3ff,2024-11-24T23:19:05Z,Hemil59,Delete Histogram'
'6fd1747,2024-11-24T22:24:54Z,Hemil59,Add files via upload'
'd07d390,2024-11-22T09:56:32Z,Poorna443,Create Histogram'
'f758a08,2024-11-22T09:54:39Z,Poorna443,Update README.md'
'a1899ef,2024-11-22T09:53:52Z,Hemil59,Add files via upload'
'b3efe80,2024-11-19T20:50:58Z,Hemil59,Create README.md'
'9bf9b97,2024-11-17T15:25:57Z,Poorna443,CPU Specifications - AMD Data Set'
'4a7c8aa,2024-11-17T15:23:27Z,Poorna443,CPU Specifications'
